transaction_id,date,customer_id,product_id,quantity,unit_price,discount,revenue,channel
T0000151,2025-12-31,C0048,P007,4,29.99,0.05,113.96,Store
T0000152,2025-12-31,C0089,P004,4,79.99,0.0,319.96,Web
T0000153,2025-12-31,C0059,P005,1,34.99,0.05,33.24,Mobile
T0000154,2025-12-31,C0068,P004,1,79.99,0.0,79.99,Store
T0000155,2025-12-31,C0068,P003,1,18.99,0.0,18.99,Store
T0000156,2025-12-31,C0108,P002,1,6.49,0.1,5.84,Store
T0000157,2025-12-31,C0058,P001,1,12.99,0.0,12.99,Web
T0000158,2025-12-31,C0024,P003,2,18.99,0.0,37.98,Store
T0000159,2025-12-31,C0022,P001,1,12.99,0.1,11.69,Store
T0000160,2025-12-31,C0044,P006,1,24.99,0.0,24.99,Store
T0000161,2025-12-31,C0074,P001,3,12.99,0.0,38.97,Store
T0000162,2026-01-01,C0103,P008,4,14.99,0.0,59.96,Store
T0000163,2026-01-01,C0114,P003,2,18.99,0.15,32.28,Store
T0000164,2026-01-01,C0060,P007,3,29.99,0.0,89.97,Store
T0000165,2026-01-01,C0024,P007,1,29.99,0.1,26.99,Web
T0000166,2026-01-01,C0044,P003,2,18.99,0.1,34.18,Mobile
T0000167,2026-01-01,C0047,P003,2,18.99,0.0,37.98,Web
T0000168,2026-01-01,C0067,P002,1,6.49,0.0,6.49,Store
T0000169,2026-01-01,C0020,P005,2,34.99,0.0,69.98,Web
T0000170,2026-01-01,C0031,P004,4,79.99,0.15,271.97,Store
T0000171,2026-01-01,C0111,P001,1,12.99,0.0,12.99,Web
T0000172,2026-01-01,C0068,P008,1,14.99,0.05,14.24,Mobile
T0000173,2026-01-01,C0060,P004,1,79.99,0.05,75.99,Store
T0000174,2026-01-01,C0106,P002,2,6.49,0.0,12.98,Web
T0000175,2026-01-01,C0060,P007,4,29.99,0.0,119.96,Mobile
T0000176,2026-01-01,C0045,P001,1,12.99,0.1,11.69,Store
T0000177,2026-01-01,C0068,P006,3,24.99,0.0,74.97,Store
T0000178,2026-01-01,C0096,P008,2,14.99,0.1,26.98,Store
T0000179,2026-01-01,C0063,P002,2,6.49,0.05,12.33,Store
T0000180,2026-01-01,C0075,P002,1,6.49,0.0,6.49,Web
T0000181,2026-01-01,C0026,P003,1,18.99,0.0,18.99,Store
T0000182,2026-01-01,C0114,P002,3,6.49,0.05,18.5,Mobile
T0000183,2026-01-01,C0077,P001,2,12.99,0.0,25.98,Mobile
T0000184,2026-01-01,C0116,P004,1,79.99,0.05,75.99,Store
T0000185,2026-01-01,C0109,P006,1,24.99,0.1,22.49,Mobile
T0000186,2026-01-02,C0101,P006,1,24.99,0.1,22.49,Web
T0000187,2026-01-02,C0048,P004,1,79.99,0.15,67.99,Store
T0000188,2026-01-02,C0023,P001,2,12.99,0.1,23.38,Web
T0000189,2026-01-02,C0100,P006,3,24.99,0.05,71.22,Web
T0000190,2026-01-02,C0066,P004,5,79.99,0.0,399.95,Store
T0000191,2026-01-02,C0011,P001,1,12.99,0.05,12.34,Store
T0000192,2026-01-02,C0112,P008,1,14.99,0.0,14.99,Store
T0000193,2026-01-02,C0118,P006,1,24.99,0.1,22.49,Mobile
T0000194,2026-01-02,C0029,P008,1,14.99,0.0,14.99,Store
T0000195,2026-01-02,C0024,P008,4,14.99,0.1,53.96,Web
T0000196,2026-01-02,C0104,P007,2,29.99,0.0,59.98,Store
T0000197,2026-01-02,C0114,P003,3,18.99,0.0,56.97,Web
T0000198,2026-01-02,C0081,P004,1,79.99,0.05,75.99,Store
T0000199,2026-01-02,C0113,P008,1,14.99,0.0,14.99,Web
T0000200,2026-01-02,C0061,P008,3,14.99,0.0,44.97,Store
T0000201,2026-01-02,C0072,P002,2,6.49,0.15,11.03,Store
T0000202,2026-01-02,C0108,P006,1,24.99,0.1,22.49,Web
T0000203,2026-01-02,C0094,P008,4,14.99,0.05,56.96,Web
T0000204,2026-01-02,C0116,P005,2,34.99,0.0,69.98,Web
T0000205,2026-01-03,C0090,P008,1,14.99,0.0,14.99,Web
T0000206,2026-01-03,C0090,P002,2,6.49,0.15,11.03,Store
T0000207,2026-01-03,C0024,P007,3,29.99,0.05,85.47,Store
T0000208,2026-01-03,C0043,P005,1,34.99,0.0,34.99,Store
T0000209,2026-01-03,C0016,P005,2,34.99,0.0,69.98,Web
T0000210,2026-01-03,C0090,P008,3,14.99,0.0,44.97,Store
T0000211,2026-01-03,C0057,P002,1,6.49,0.05,6.17,Store
T0000212,2026-01-03,C0033,P005,1,34.99,0.0,34.99,Store
T0000213,2026-01-03,C0045,P008,3,14.99,0.05,42.72,Mobile
T0000214,2026-01-03,C0120,P007,5,29.99,0.0,149.95,Store
T0000215,2026-01-03,C0060,P001,2,12.99,0.1,23.38,Store
T0000216,2026-01-03,C0028,P007,6,29.99,0.0,179.94,Web
T0000217,2026-01-03,C0113,P007,2,29.99,0.0,59.98,Store
T0000218,2026-01-03,C0007,P001,4,12.99,0.0,51.96,Web
T0000219,2026-01-03,C0032,P007,1,29.99,0.05,28.49,Web
T0000220,2026-01-03,C0029,P003,2,18.99,0.0,37.98,Store
T0000221,2026-01-03,C0031,P007,4,29.99,0.0,119.96,Web
T0000222,2026-01-03,C0120,P007,1,29.99,0.0,29.99,Web
T0000223,2026-01-03,C0098,P004,1,79.99,0.0,79.99,Web
T0000224,2026-01-03,C0045,P001,1,12.99,0.0,12.99,Store
T0000225,2026-01-03,C0104,P004,4,79.99,0.1,287.96,Store
T0000226,2026-01-03,C0088,P005,1,34.99,0.0,34.99,Store
T0000227,2026-01-03,C0023,P002,1,6.49,0.05,6.17,Mobile
T0000228,2026-01-03,C0097,P001,1,12.99,0.0,12.99,Store
T0000229,2026-01-03,C0114,P001,1,12.99,0.1,11.69,Store
T0000230,2026-01-04,C0077,P004,3,79.99,0.1,215.97,Store
T0000231,2026-01-04,C0007,P006,3,24.99,0.0,74.97,Web
T0000232,2026-01-04,C0113,P001,4,12.99,0.1,46.76,Web
T0000233,2026-01-04,C0035,P002,1,6.49,0.0,6.49,Web
T0000234,2026-01-04,C0061,P007,4,29.99,0.05,113.96,Web
T0000235,2026-01-04,C0063,P001,3,12.99,0.1,35.07,Mobile
T0000236,2026-01-04,C0043,P008,3,14.99,0.0,44.97,Mobile
T0000237,2026-01-04,C0035,P005,4,34.99,0.05,132.96,Store
T0000238,2026-01-04,C0073,P006,2,24.99,0.0,49.98,Web
T0000239,2026-01-04,C0068,P005,1,34.99,0.0,34.99,Mobile
T0000240,2026-01-04,C0004,P007,2,29.99,0.05,56.98,Store
T0000241,2026-01-05,C0064,P005,2,34.99,0.0,69.98,Mobile
T0000242,2026-01-05,C0086,P002,3,6.49,0.0,19.47,Web
T0000243,2026-01-05,C0025,P006,4,24.99,0.15,84.97,Mobile
T0000244,2026-01-05,C0111,P006,1,24.99,0.0,24.99,Store
T0000245,2026-01-05,C0015,P001,1,12.99,0.15,11.04,Store
T0000246,2026-01-05,C0016,P008,5,14.99,0.0,74.95,Web
T0000247,2026-01-05,C0054,P002,2,6.49,0.05,12.33,Store
T0000248,2026-01-05,C0019,P008,2,14.99,0.05,28.48,Mobile
T0000249,2026-01-05,C0010,P005,2,34.99,0.05,66.48,Mobile
T0000250,2026-01-05,C0036,P001,2,12.99,0.05,24.68,Web
T0000251,2026-01-05,C0075,P006,1,24.99,0.05,23.74,Web
T0000252,2026-01-05,C0082,P003,1,18.99,0.0,18.99,Store
T0000253,2026-01-05,C0011,P007,1,29.99,0.05,28.49,Store
T0000254,2026-01-05,C0100,P005,3,34.99,0.0,104.97,Mobile
T0000255,2026-01-05,C0060,P004,3,79.99,0.0,239.97,Store
T0000256,2026-01-05,C0111,P001,3,12.99,0.0,38.97,Store
T0000257,2026-01-05,C0012,P008,1,14.99,0.0,14.99,Web
T0000258,2026-01-05,C0089,P008,1,14.99,0.0,14.99,Store
T0000259,2026-01-05,C0113,P002,1,6.49,0.0,6.49,Web
T0000260,2026-01-05,C0050,P007,3,29.99,0.05,85.47,Mobile
T0000261,2026-01-05,C0120,P003,1,18.99,0.0,18.99,Store
T0000262,2026-01-05,C0070,P006,6,24.99,0.0,149.94,Mobile
T0000263,2026-01-05,C0037,P006,5,24.99,0.0,124.95,Web
T0000264,2026-01-05,C0068,P001,2,12.99,0.05,24.68,Store
T0000265,2026-01-05,C0040,P004,1,79.99,0.0,79.99,Mobile
T0000266,2026-01-05,C0054,P006,2,24.99,0.0,49.98,Store
T0000267,2026-01-05,C0022,P008,2,14.99,0.0,29.98,Web
T0000268,2026-01-05,C0003,P001,1,12.99,0.0,12.99,Store
T0000269,2026-01-06,C0097,P005,1,34.99,0.0,34.99,Mobile
T0000270,2026-01-06,C0066,P007,1,29.99,0.05,28.49,Web
T0000271,2026-01-06,C0072,P007,3,29.99,0.0,89.97,Store
T0000272,2026-01-06,C0006,P006,2,24.99,0.0,49.98,Web
T0000273,2026-01-06,C0074,P004,3,79.99,0.0,239.97,Web
T0000274,2026-01-06,C0030,P003,1,18.99,0.0,18.99,Store
T0000275,2026-01-06,C0050,P002,2,6.49,0.0,12.98,Mobile
T0000276,2026-01-06,C0003,P008,2,14.99,0.05,28.48,Mobile
T0000277,2026-01-06,C0109,P005,2,34.99,0.1,62.98,Web
T0000278,2026-01-06,C0074,P005,2,34.99,0.05,66.48,Store
T0000279,2026-01-06,C0088,P007,3,29.99,0.15,76.47,Web
T0000280,2026-01-06,C0045,P007,1,29.99,0.0,29.99,Mobile
T0000281,2026-01-06,C0089,P007,2,29.99,0.1,53.98,Store
T0000282,2026-01-06,C0075,P001,4,12.99,0.0,51.96,Web
T0000283,2026-01-06,C0041,P006,1,24.99,0.0,24.99,Web
T0000284,2026-01-06,C0035,P004,3,79.99,0.0,239.97,Mobile
T0000285,2026-01-06,C0079,P004,1,79.99,0.1,71.99,Store
T0000286,2026-01-06,C0017,P001,1,12.99,0.0,12.99,Store
T0000287,2026-01-06,C0017,P005,2,34.99,0.0,69.98,Store
T0000288,2026-01-06,C0074,P002,2,6.49,0.0,12.98,Store
T0000289,2026-01-06,C0055,P003,2,18.99,0.0,37.98,Web
T0000290,2026-01-06,C0003,P006,2,24.99,0.0,49.98,Web
T0000291,2026-01-07,C0073,P008,3,14.99,0.1,40.47,Mobile
T0000292,2026-01-07,C0006,P007,2,29.99,0.0,59.98,Mobile
T0000293,2026-01-07,C0002,P007,2,29.99,0.0,59.98,Mobile
T0000294,2026-01-07,C0057,P003,1,18.99,0.0,18.99,Mobile
T0000295,2026-01-07,C0032,P003,1,18.99,0.0,18.99,Mobile
T0000296,2026-01-07,C0061,P006,2,24.99,0.1,44.98,Store
T0000297,2026-01-07,C0034,P001,4,12.99,0.0,51.96,Store
T0000298,2026-01-07,C0048,P004,2,79.99,0.05,151.98,Store
T0000299,2026-01-07,C0043,P004,2,79.99,0.0,159.98,Mobile
T0000300,2026-01-07,C0069,P007,2,29.99,0.0,59.98,Store
T0000301,2026-01-07,C0015,P004,2,79.99,0.1,143.98,Mobile
T0000302,2026-01-07,C0073,P003,4,18.99,0.0,75.96,Web
T0000303,2026-01-07,C0022,P001,1,12.99,0.1,11.69,Store
T0000304,2026-01-07,C0005,P002,1,6.49,0.0,6.49,Store
T0000305,2026-01-07,C0004,P003,1,18.99,0.0,18.99,Store
T0000306,2026-01-07,C0041,P004,1,79.99,0.0,79.99,Store
T0000307,2026-01-07,C0091,P004,4,79.99,0.05,303.96,Web
T0000308,2026-01-07,C0102,P008,4,14.99,0.1,53.96,Store
T0000309,2026-01-07,C0120,P008,1,14.99,0.05,14.24,Store
T0000310,2026-01-07,C0093,P001,3,12.99,0.0,38.97,Store
T0000311,2026-01-07,C0006,P002,1,6.49,0.0,6.49,Store
T0000312,2026-01-07,C0106,P006,2,24.99,0.0,49.98,Web
T0000313,2026-01-07,C0051,P007,1,29.99,0.0,29.99,Store
T0000314,2026-01-07,C0068,P005,2,34.99,0.15,59.48,Web
T0000315,2026-01-07,C0117,P001,1,12.99,0.0,12.99,Store
T0000316,2026-01-07,C0099,P005,3,34.99,0.0,104.97,Web
T0000317,2026-01-07,C0008,P001,2,12.99,0.0,25.98,Store
T0000318,2026-01-07,C0080,P004,1,79.99,0.1,71.99,Mobile
T0000319,2026-01-07,C0023,P003,3,18.99,0.0,56.97,Store
T0000320,2026-01-07,C0120,P003,4,18.99,0.0,75.96,Mobile
T0000321,2026-01-07,C0114,P003,1,18.99,0.0,18.99,Store
T0000322,2026-01-08,C0009,P004,1,79.99,0.05,75.99,Store
T0000323,2026-01-08,C0079,P004,1,79.99,0.15,67.99,Web
T0000324,2026-01-08,C0106,P007,1,29.99,0.0,29.99,Web
T0000325,2026-01-08,C0036,P006,1,24.99,0.0,24.99,Store
T0000326,2026-01-08,C0047,P002,1,6.49,0.05,6.17,Store
T0000327,2026-01-08,C0042,P007,3,29.99,0.15,76.47,Web
T0000328,2026-01-08,C0110,P005,1,34.99,0.0,34.99,Web
T0000329,2026-01-08,C0119,P004,1,79.99,0.0,79.99,Store
T0000330,2026-01-08,C0091,P002,4,6.49,0.05,24.66,Mobile
T0000331,2026-01-08,C0105,P003,1,18.99,0.0,18.99,Store
T0000332,2026-01-08,C0104,P008,2,14.99,0.0,29.98,Web
T0000333,2026-01-08,C0025,P002,1,6.49,0.1,5.84,Web
T0000334,2026-01-08,C0024,P001,3,12.99,0.0,38.97,Store
T0000335,2026-01-08,C0005,P008,1,14.99,0.0,14.99,Web
T0000336,2026-01-08,C0114,P004,3,79.99,0.0,239.97,Web
T0000337,2026-01-08,C0052,P002,3,6.49,0.0,19.47,Store
T0000338,2026-01-08,C0043,P002,1,6.49,0.05,6.17,Store
T0000339,2026-01-08,C0111,P005,1,34.99,0.0,34.99,Store
T0000340,2026-01-08,C0010,P007,2,29.99,0.0,59.98,Web
T0000341,2026-01-09,C0046,P008,1,14.99,0.0,14.99,Web
T0000342,2026-01-09,C0105,P008,2,14.99,0.0,29.98,Store
T0000343,2026-01-09,C0088,P003,2,18.99,0.1,34.18,Mobile
T0000344,2026-01-09,C0011,P006,1,24.99,0.0,24.99,Mobile
T0000345,2026-01-09,C0029,P004,3,79.99,0.0,239.97,Mobile
T0000346,2026-01-09,C0019,P001,1,12.99,0.0,12.99,Mobile
T0000347,2026-01-09,C0080,P002,2,6.49,0.0,12.98,Web
T0000348,2026-01-09,C0056,P005,1,34.99,0.0,34.99,Store
T0000349,2026-01-09,C0018,P002,2,6.49,0.05,12.33,Mobile
T0000350,2026-01-09,C0029,P004,1,79.99,0.0,79.99,Web
T0000351,2026-01-09,C0119,P007,1,29.99,0.05,28.49,Store
T0000352,2026-01-09,C0072,P003,2,18.99,0.0,37.98,Mobile
T0000353,2026-01-09,C0031,P008,1,14.99,0.0,14.99,Web
T0000354,2026-01-09,C0096,P005,3,34.99,0.0,104.97,Store
T0000355,2026-01-09,C0040,P008,5,14.99,0.0,74.95,Store
T0000356,2026-01-09,C0064,P003,1,18.99,0.1,17.09,Store
T0000357,2026-01-09,C0024,P002,1,6.49,0.1,5.84,Web
T0000358,2026-01-09,C0009,P008,5,14.99,0.0,74.95,Web
T0000359,2026-01-09,C0115,P001,3,12.99,0.15,33.12,Store
T0000360,2026-01-09,C0025,P003,3,18.99,0.0,56.97,Web
T0000361,2026-01-09,C0071,P002,5,6.49,0.0,32.45,Store
T0000362,2026-01-09,C0033,P005,3,34.99,0.0,104.97,Store
T0000363,2026-01-09,C0089,P008,3,14.99,0.0,44.97,Mobile
T0000364,2026-01-09,C0087,P007,2,29.99,0.0,59.98,Store
T0000365,2026-01-09,C0045,P003,2,18.99,0.0,37.98,Store
T0000366,2026-01-09,C0098,P001,3,12.99,0.0,38.97,Mobile
T0000367,2026-01-10,C0111,P005,3,34.99,0.1,94.47,Store
T0000368,2026-01-10,C0005,P004,4,79.99,0.15,271.97,Mobile
T0000369,2026-01-10,C0064,P002,2,6.49,0.0,12.98,Store
T0000370,2026-01-10,C0028,P007,1,29.99,0.0,29.99,Web
T0000371,2026-01-10,C0026,P005,1,34.99,0.0,34.99,Web
T0000372,2026-01-10,C0110,P006,2,24.99,0.1,44.98,Web
T0000373,2026-01-10,C0075,P007,2,29.99,0.15,50.98,Web
T0000374,2026-01-10,C0094,P005,1,34.99,0.0,34.99,Web
T0000375,2026-01-10,C0053,P007,1,29.99,0.0,29.99,Store
T0000376,2026-01-10,C0117,P001,1,12.99,0.0,12.99,Web
T0000377,2026-01-10,C0060,P007,3,29.99,0.0,89.97,Store
T0000378,2026-01-10,C0056,P005,1,34.99,0.0,34.99,Web
T0000379,2026-01-10,C0090,P001,2,12.99,0.0,25.98,Store
T0000380,2026-01-10,C0079,P003,1,18.99,0.0,18.99,Web
T0000381,2026-01-10,C0100,P001,4,12.99,0.1,46.76,Store
T0000382,2026-01-10,C0101,P006,1,24.99,0.0,24.99,Store
